VisitTime,cutoff,NumberCase,NumberInfec,NumberSuscep,NumberSuscepPersonYrs,FoImean,FoIlow,FoIup,seroinci.personYrsmean,seroinci.personYrslow,seroinci.personYrsup,seroinci.totalcasemean,seroinci.totalcaselow,seroinci.totalcaseup,index
season1valid,8,436,4,159,62.64383562,0.025157233,0.006896104,0.063157606,0.063853051,0.017670264,0.155495649,0.009174312,0.002505188,0.023322203,0.8
season1valid,16,436,7,162,63.78630137,0.043209877,0.017546525,0.087000141,0.109741431,0.045276227,0.213126199,0.016055046,0.0064787,0.032798515,1
season1valid,32,436,9,175,68.76164384,0.051428571,0.023783002,0.095380124,0.130886923,0.061636524,0.233977715,0.020642202,0.009481333,0.038822537,1.2
season2valid,8,436,20,156,82.05205479,0.128205128,0.080101207,0.191037896,0.243747704,0.155687087,0.351042418,0.04587156,0.028241341,0.069958013,1.8
season2valid,16,436,18,156,82.05205479,0.115384615,0.069836602,0.176217314,0.219372934,0.135502575,0.324363425,0.041284404,0.024648263,0.064464018,2
season2valid,32,436,17,166,87.22739726,0.102409639,0.060798082,0.158900562,0.194892895,0.117828486,0.293601257,0.038990826,0.022874808,0.061695502,2.2
season3valid,8,436,3,140,69.39726027,0.021428571,0.004441076,0.06134501,0.043229372,0.009005229,0.121178793,0.006880734,0.001421227,0.019975814,2.8
season3valid,16,436,2,143,70.88493151,0.013986014,0.001698282,0.04960771,0.028214741,0.003435389,0.098233415,0.004587156,0.000556009,0.016471398,3
season3valid,32,436,3,156,77.51506849,0.019230769,0.003983542,0.055169937,0.038702152,0.008053551,0.108963915,0.006880734,0.001421227,0.019975814,3.2
season4valid,8,436,24,142,71.81369863,0.169014085,0.111394808,0.240961197,0.334198077,0.22719038,0.455361536,0.055045872,0.035583641,0.080799359,3.8
season4valid,16,436,24,144,72.75342466,0.166666667,0.109802208,0.237760901,0.329881378,0.224063053,0.45003691,0.055045872,0.035583641,0.080799359,4
season4valid,32,436,25,160,80.79452055,0.15625,0.103741755,0.221956226,0.309426924,0.211250101,0.422059689,0.05733945,0.037447073,0.083483364,4.2
season5valid,8,436,4,120,59.12054795,0.033333333,0.009155506,0.083148721,0.067658372,0.018741027,0.164267537,0.009174312,0.002505188,0.023322203,4.8
season5valid,16,436,4,121,59.57808219,0.033057851,0.009079231,0.082479381,0.067138784,0.018594701,0.163073021,0.009174312,0.002505188,0.023322203,5
season5valid,32,436,5,139,68.72054795,0.035971223,0.011781121,0.081946981,0.072758442,0.02404576,0.161684359,0.01146789,0.003733789,0.026558088,5.2
season6valid,8,436,20,118,63.94794521,0.169491525,0.106712887,0.249556681,0.312754381,0.202597053,0.440917666,0.04587156,0.028241341,0.069958013,5.8
season6valid,16,436,19,120,65.06027397,0.158333333,0.098102295,0.236163556,0.292036889,0.185846035,0.417907513,0.043577982,0.026437502,0.067217837,6
season6valid,32,436,22,140,75.88767123,0.157142857,0.101178307,0.228194804,0.289902163,0.191411384,0.405399584,0.050458716,0.031888786,0.07540104,6.2
