VisitTime,NumberCase,NumberSeroPos8,cutoff,SeroPosmean,SeroPoslow,SeroPosup,index
1,2475,1420,8,0.573737374,0.553974649,0.593325381,0.8
1,2475,1412,16,0.570505051,0.550727612,0.590115432,1
1,2475,1329,32,0.536969697,0.517089235,0.556762571,1.2
2,609,360,8,0.591133005,0.55090227,0.63047574,1.8
2,609,360,16,0.591133005,0.55090227,0.63047574,2
2,609,347,32,0.569786535,0.529384519,0.609508678,2.2
3,2135,1337,8,0.626229508,0.605311318,0.646800537,2.8
3,2135,1326,16,0.621077283,0.60011047,0.641711118,3
3,2135,1247,32,0.584074941,0.562830184,0.605088535,3.2
4,522,335,8,0.641762452,0.59896039,0.682949026,3.8
4,522,333,16,0.637931034,0.595055573,0.679234775,4
4,522,315,32,0.603448276,0.560036886,0.645681475,4.2
5,2077,1397,8,0.672604718,0.651949933,0.692771227,4.8
5,2077,1386,16,0.667308618,0.646579118,0.687564853,5
5,2077,1296,32,0.62397689,0.602741389,0.644861843,5.2
6,529,376,8,0.710775047,0.670089168,0.749087207,5.8
6,529,373,16,0.70510397,0.664230321,0.743668165,6
6,529,350,32,0.661625709,0.619542686,0.701890841,6.2
7,2032,1486,8,0.731299213,0.711454702,0.750474205,6.8
7,2032,1478,16,0.727362205,0.707435177,0.74663116,7
7,2032,1370,32,0.674212598,0.653348664,0.694572706,7.2
