week.serial,NumberCasebyWeek,NumberEV71PositivebyWeek,PercntileDividebyWeek
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,13,0,0
41,22,2,0.675447484
42,17,0,0
43,19,0,0
44,25,3,1.013171226
45,14,0,0
46,8,0,0
47,15,2,0.675447484
48,15,0,0
49,23,0,0
50,19,1,0.337723742
51,24,4,1.350894968
52,10,2,0.675447484
53,16,1,0.337723742
54,6,0,0
55,13,0,0
56,6,0,0
57,9,0,0
58,16,0,0
59,12,1,0.337723742
60,15,1,0.337723742
61,11,0,0
62,14,0,0
63,22,3,1.013171226
64,22,2,0.675447484
65,34,8,2.701789936
66,51,13,4.390408646
67,68,18,6.079027356
68,82,22,7.429922324
69,87,26,8.780817291
70,90,17,5.741303614
71,62,8,2.701789936
72,57,11,3.714961162
73,60,16,5.403579872
74,55,11,3.714961162
75,82,21,7.092198582
76,50,8,2.701789936
77,51,4,1.350894968
78,42,5,1.68861871
79,40,1,0.337723742
80,34,6,2.026342452
81,29,3,1.013171226
82,16,1,0.337723742
83,25,5,1.68861871
84,11,2,0.675447484
85,9,1,0.337723742
86,9,0,0
87,10,1,0.337723742
88,9,2,0.675447484
89,2,1,0.337723742
90,6,1,0.337723742
91,5,1,0.337723742
92,10,0,0
93,5,0,0
94,4,0,0
95,7,0,0
96,5,1,0.337723742
97,5,0,0
98,6,2,0.675447484
99,4,2,0.675447484
100,9,4,1.350894968
101,9,4,1.350894968
102,9,1,0.337723742
103,5,0,0
104,10,0,0
105,13,1,0.337723742
106,2,0,0
107,3,1,0.337723742
108,6,0,0
109,2,0,0
110,5,1,0.337723742
111,3,2,0.675447484
112,1,0,0
113,4,1,0.337723742
114,2,0,0
115,4,0,0
116,3,2,0.675447484
117,6,2,0.675447484
118,19,9,3.039513678
119,18,11,3.714961162
120,7,3,1.013171226
121,17,2,0.675447484
122,16,4,1.350894968
123,26,14,4.728132388
124,26,6,2.026342452
125,37,6,2.026342452
126,23,2,0.675447484
127,12,2,0.675447484
128,20,3,1.013171226
129,20,8,2.701789936
130,14,1,0.337723742
131,24,1,0.337723742
132,24,2,0.675447484
133,17,2,0.675447484
134,16,6,2.026342452
135,16,2,0.675447484
136,16,2,0.675447484
137,21,2,0.675447484
138,9,2,0.675447484
139,5,0,0
140,10,0,0
141,10,1,0.337723742
142,6,0,0
143,8,0,0
144,7,0,0
145,10,0,0
146,12,0,0
147,11,0,0
148,2,0,0
149,4,0,0
150,3,0,0
151,3,0,0
152,9,1,0.337723742
153,2,2,0.675447484
154,2,1,0.337723742
155,3,0,0
156,8,1,0.337723742
157,6,0,0
158,5,0,0
159,2,0,0
160,8,0,0
161,3,1,0.337723742
162,4,0,0
163,10,0,0
164,1,0,0
165,3,1,0.337723742
166,5,1,0.337723742
167,6,1,0.337723742
168,6,2,0.675447484
169,12,2,0.675447484
170,14,7,2.364066194
171,29,9,3.039513678
172,40,6,2.026342452
173,49,11,3.714961162
174,66,11,3.714961162
175,51,15,5.06585613
176,62,19,6.416751098
177,46,12,4.052684904
178,28,6,2.026342452
179,40,14,4.728132388
180,39,15,5.06585613
181,46,15,5.06585613
182,37,12,4.052684904
183,21,8,2.701789936
184,25,7,2.364066194
185,21,6,2.026342452
186,20,5,1.68861871
187,9,3,1.013171226
188,17,2,0.675447484
189,18,1,0.337723742
190,13,5,1.68861871
191,15,2,0.675447484
192,9,3,1.013171226
193,15,2,0.675447484
194,18,5,1.68861871
195,15,2,0.675447484
196,10,4,1.350894968
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,0,0,0
