VisitTime,TrueAgeVisit,id,NumberCase,NumberInfec16,AnhuaPopSize
season1valid,1,1,288,25,12256
season1valid,2,2,310,25,11056
season1valid,3,3,292,20,10668
season1valid,4,4,285,16,11676
season1valid,5,5,296,19,11495
season1valid,6,6,257,6,10990
season1valid,7,7,173,1,10752
season1valid,8,8,144,1,10184
season1valid,9,9,91,3,9702
season2valid,2,11,267,24,12256
season2valid,3,12,273,30,11056
season2valid,4,13,264,19,10668
season2valid,5,14,259,14,11676
season2valid,6,15,289,8,11495
season2valid,7,16,198,1,10990
season2valid,8,17,166,5,10752
season2valid,9,18,128,2,10184
season2valid,10,19,65,1,9702
season3valid,3,21,275,43,12256
season3valid,4,22,251,29,11056
season3valid,5,23,258,25,10668
season3valid,6,24,260,15,11676
season3valid,7,25,277,16,11495
season3valid,8,26,185,4,10990
season3valid,9,27,170,5,10752
season3valid,10,28,120,3,10184
season3valid,11,29,55,2,9702
