VisitTime,TrueAgeVisit,id,index,NumberCase,NumberSeroPos16,AnhuaPopSize
1,1,1,1,355,86,12256
1,2,2,1.9,368,128,11056
1,3,3,2.8,332,158,10668
1,4,4,3.7,333,212,11676
1,5,5,4.7,330,224,11495
1,6,6,5.7,283,214,10990
1,7,7,6.7,205,166,10752
1,8,8,7.7,162,138,10184
1,9,9,8.7,107,86,9702
3,2,11,2.1,305,104,12256
3,3,12,3,305,131,11056
3,4,13,3.9,293,163,10668
3,5,14,4.9,292,203,11676
3,6,15,5.9,319,229,11495
3,7,16,6.9,218,168,10990
3,8,17,7.9,180,144,10752
3,9,18,8.9,140,123,10184
3,10,19,9.8,75,60,9702
5,3,21,3.2,304,132,12256
5,4,22,4.1,289,155,11056
5,5,23,5.1,281,170,10668
5,6,24,6.1,281,216,11676
5,7,25,7.1,313,226,11495
5,8,26,8.1,207,156,10990
5,9,27,9.1,187,155,10752
5,10,28,10,136,117,10184
5,11,29,10.9,67,57,9702
7,4,31,4.3,302,165,12256
7,5,32,5.3,275,176,11056
7,6,33,6.3,284,192,10668
7,7,34,7.3,288,230,11676
7,8,35,8.3,291,227,11495
7,9,36,9.3,202,159,10990
7,10,37,10.2,181,156,10752
7,11,38,11.1,133,115,10184
7,12,39,12,67,56,9702
